Epic,Task,Sub-task,Deskripsi Non-Teknis,Deskripsi Teknis,Milestone,Sprint,Start Date,End Date,Story Points,Priority
OMA-6: Dashboard Admin Web,,,Membangun panel kontrol untuk tim internal,"Web admin panel (React/Next.js atau Flutter Web), JWT auth, role-based access",Milestone 3,Sprint 3,13 Apr 2026,17 Apr 2026,6,High
,Manajemen Produk (Admin),,"Admin bisa tambah, edit, dan hapus produk dari dashboard","CRUD endpoints: POST/PUT/DELETE /products, form upload foto ke Cloudinary",Milestone 3,Sprint 3,13 Apr 2026,15 Apr 2026,3,High
,,Tambah / edit / hapus produk,Fitur lengkap kelola data produk,"POST /products, PUT /products/:id, DELETE /products/:id dengan auth middleware",Milestone 3,Sprint 3,13 Apr 2026,14 Apr 2026,2,High
,,Update stok & foto produk,Admin bisa update stok dan ganti foto produk,"PATCH /products/:id/stock, re-upload foto ke Cloudinary & update image URL",Milestone 3,Sprint 3,15 Apr 2026,15 Apr 2026,1,Medium
,Manajemen Pesanan (Admin),,Admin bisa melihat dan memperbarui semua pesanan masuk,"GET /orders dengan filter & pagination, PATCH /orders/:id/status",Milestone 3,Sprint 3,15 Apr 2026,16 Apr 2026,2,High
,,Lihat daftar & detail pesanan,Admin lihat semua pesanan beserta detailnya,"GET /orders?status=&page=&limit=, GET /orders/:id dengan relasi user & items",Milestone 3,Sprint 3,15 Apr 2026,16 Apr 2026,1,High
,,Update status pesanan & pembayaran,Admin bisa ubah status pesanan (proses/kirim/selesai),PATCH /orders/:id: update status enum (pending/processing/shipped/delivered),Milestone 3,Sprint 3,16 Apr 2026,16 Apr 2026,1,High
,Export Laporan CSV / Excel,,Admin bisa unduh data pesanan dalam format spreadsheet,"GET /orders/export: generate file pakai library json2csv atau exceljs, return file stream",Milestone 3,Sprint 3,17 Apr 2026,17 Apr 2026,1,Medium
OMA-7: Pengujian & Penjaminan Kualitas,,,Menguji seluruh aplikasi dan memperbaiki masalah,"End-to-end testing, bug fixing, build release candidate",Milestone 3,Sprint 3,20 Apr 2026,24 Apr 2026,4,High
,Pengujian End-to-End,,Menguji semua fitur dari awal sampai akhir secara menyeluruh,"Manual QA testing seluruh user flow, checklist per fitur, bug logging di Jira",Milestone 3,Sprint 3,20 Apr 2026,21 Apr 2026,2,High
,,Test alur beli: katalog → bayar,Simulasi belanja lengkap dari buka app sampai pembayaran,Test flow: buka app → cari produk → detail → cart → checkout → bayar → status update,Milestone 3,Sprint 3,20 Apr 2026,20 Apr 2026,1,High
,,Test admin & webhook Xendit,Semua fitur admin dan konfirmasi pembayaran diverifikasi,"Test CRUD produk, export, update status pesanan, simulasi callback Xendit via Postman/ngrok",Milestone 3,Sprint 3,21 Apr 2026,21 Apr 2026,1,High
,Perbaikan Bug Prioritas,,Memperbaiki semua masalah yang ditemukan saat pengujian,"Triage bug by severity (critical/major/minor), fix & re-test semua critical & major",Milestone 3,Sprint 3,22 Apr 2026,23 Apr 2026,1,High
,Persiapan Release Candidate,,Memastikan build final siap dikirim ke Play Store,"Flutter build appbundle --release, obfuscation, ProGuard rules, Firebase Crashlytics SDK",Milestone 3,Sprint 3,24 Apr 2026,24 Apr 2026,1,High
🎯 PRESENTASI MILESTONE 3,Progres 2 (Final Demo) — Rp0,"[Syarat: Semua fitur jalan, data asli, transaksi nyata bisa dicoba]","Demo versi final ke klien — semua fitur lengkap, data produk asli, transaksi pembayaran nyata","Demo production build, Xendit production mode aktif, data 20 produk asli, admin dashboard live",Milestone 3,Sprint 3,24 Apr 2026,24 Apr 2026,-,High
OMA-8: Rilis ke Play Store,,,Menyiapkan dan mengirimkan aplikasi ke Google Play,"Play Console setup, signed AAB upload, alpha track, production rollout",Milestone 4,Sprint 4,27 Apr 2026,1 Mei 2026,5,High
,Persiapan Aset Google Play Store,,Menyiapkan semua kebutuhan visual & teks untuk halaman Play Store,Siapkan semua metadata & aset sesuai spesifikasi Google Play Console,Milestone 4,Sprint 4,27 Apr 2026,28 Apr 2026,2,High
,,Build AAB (signed release),File aplikasi final yang siap diupload ke Play Store,"flutter build appbundle --release dengan keystore signing, versioning (versionCode+versionName)",Milestone 4,Sprint 4,27 Apr 2026,27 Apr 2026,1,High
,,"Icon, screenshot, deskripsi & privacy policy",Semua aset visual dan teks untuk halaman Play Store disiapkan,"Icon 512x512, screenshot portrait, feature graphic 1024x500, short/full desc, privacy policy URL",Milestone 4,Sprint 4,28 Apr 2026,28 Apr 2026,1,High
,Closed Testing (Alpha Track),,Uji coba terbatas lewat jalur alpha sebelum rilis ke publik,"Upload AAB ke Closed Testing track, invite tester via email, tunggu review Google",Milestone 4,Sprint 4,29 Apr 2026,30 Apr 2026,2,High
,,Push build ke alpha track,Upload build ke jalur pengujian terbatas di Play Console,"Upload AAB di Play Console → Closed Testing → buat release baru, isi release notes",Milestone 4,Sprint 4,29 Apr 2026,29 Apr 2026,1,High
,,Validasi Xendit mode production,Pastikan pembayaran berjalan di environment sesungguhnya,"Ganti API key dari sandbox ke production, test transaksi nyata nominal kecil",Milestone 4,Sprint 4,30 Apr 2026,30 Apr 2026,1,High
,Submit ke Production Track,,Mengirimkan aplikasi resmi ke Google untuk proses review,"Promote dari alpha ke production, set rollout percentage 20%, submit for review",Milestone 4,Sprint 4,1 Mei 2026,1 Mei 2026,1,High
,,Submit dengan rollout 20%,Rilis bertahap ke 20% pengguna dulu sebelum 100%,"Play Console → Production → set staged rollout 20%, monitor crash rate sebelum naik",Milestone 4,Sprint 4,1 Mei 2026,1 Mei 2026,1,High
OMA-9: Monitoring & Penutupan Proyek,,,Memantau pasca-rilis dan serah terima resmi,"Post-launch monitoring, rollout increase, dokumentasi & serah terima",Milestone 4,Sprint 4,4 Mei 2026,8 Mei 2026,5,High
,Monitor Review Google & Standby Hotfix,,"Pantau status review Google, siap perbaiki jika ditolak","Cek Play Console tiap hari, siapkan branch hotfix jika ada rejection reason dari Google",Milestone 4,Sprint 4,4 Mei 2026,5 Mei 2026,1,High
,Rollout Bertahap ke Semua Pengguna,,Naikkan rilis dari 20% → 50% → 100%,"Pantau crash rate & ANR di Play Console, naikan rollout jika crash rate < 1%",Milestone 4,Sprint 4,6 Mei 2026,6 Mei 2026,1,High
,Monitoring Pasca-Rilis,,Memantau laporan error dan feedback pengguna awal,Firebase Crashlytics + Play Console Android Vitals monitoring,Milestone 4,Sprint 4,6 Mei 2026,7 Mei 2026,2,Medium
,,Monitor crash rate via Firebase Crashlytics,Pantau error teknis yang muncul di HP pengguna nyata,"Dashboard Crashlytics: crash-free users rate, fatal issues, non-fatal issues per versi",Milestone 4,Sprint 4,6 Mei 2026,6 Mei 2026,1,Medium
,,Monitor review & rating di Play Store,Pantau feedback pengguna dan tanggapi jika perlu,"Cek rating & review di Play Console, balas review negatif, log feedback sebagai backlog",Milestone 4,Sprint 4,7 Mei 2026,7 Mei 2026,1,Medium
,Dokumentasi & Serah Terima Resmi,,Menyelesaikan semua dokumen dan menyerahkan proyek ke klien,"Finalisasi API docs, ERD, env variables, serah terima akses & closure meeting",Milestone 4,Sprint 4,7 Mei 2026,8 Mei 2026,1,High
🎯 PRESENTASI MILESTONE 4,Tahap 3 (Pelunasan) — Rp2.800.000,[Syarat: Aplikasi live di Play Store + serah terima semua akses],"Serah terima resmi — tunjukkan aplikasi live di Play Store, serahkan semua akses & dokumentasi","App live di Play Store (rollout 100%), serah terima: repo Git, Play Console, server, DB, Cloudinary, Xendit, tanda tangan BAP",Milestone 4,Sprint 4,8 Mei 2026,8 Mei 2026,-,High
